country,child_mort,exports,health,imports,inflation,life_expec,total_fer,gdpp
Equatorial Guinea,111.0,85.8,4.48,58.9,24.9,60.9,5.21,9.746892220313054
Eritrea,55.2,4.79,2.66,23.3,11.6,61.7,4.61,6.180016653652572
Estonia,4.5,75.1,6.03,68.7,1.74,76.0,1.72,9.588845298501564
Fiji,24.1,57.8,4.86,63.9,4.23,65.3,2.67,8.202756381655638
Finland,3.0,38.7,8.95,37.4,0.351,80.0,1.87,10.740756721857226
France,4.2,26.8,11.9,28.1,1.05,81.4,2.03,10.611547975828369
Gabon,63.7,57.7,3.5,18.9,16.6,62.9,4.08,9.076923258535832
Gambia,80.3,23.8,5.69,42.7,4.3,65.5,5.71,6.333279628139691
Georgia,16.5,35.0,10.1,52.8,8.55,72.8,1.92,7.993282328101591
Germany,4.2,42.3,11.6,37.1,0.758,80.1,1.39,10.640675541671662
Ghana,74.7,29.5,5.22,45.9,16.6,62.2,4.27,7.1785454837637
Greece,3.9,22.1,10.3,30.7,0.673,80.4,1.48,10.199918739620157
Grenada,14.6,23.8,5.86,49.2,0.48,71.3,2.24,8.905308661189288
Guatemala,35.4,25.8,6.85,36.3,5.14,71.3,3.38,7.9483852851118995
Guinea,109.0,30.3,4.93,43.2,16.1,58.0,5.34,6.47543271670409
Guinea-Bissau,114.0,14.9,8.5,35.2,2.97,55.6,5.05,6.306275286948016
Guyana,37.6,51.4,5.38,79.1,5.73,65.5,2.65,8.019941687677365
Haiti,208.0,15.3,6.91,64.7,5.45,32.1,3.33,6.4967749901858625
Hungary,6.0,81.8,7.33,76.5,2.33,74.5,1.25,9.48044384215367
Iceland,2.6,53.4,9.4,43.3,5.47,82.0,2.2,10.643064971973882
India,58.8,22.6,4.05,27.1,8.98,66.2,2.6,7.208600337960199
Indonesia,33.3,24.3,2.61,22.4,15.3,69.9,2.48,8.042699496897637
Iran,19.3,24.4,5.6,19.4,15.9,74.5,1.76,8.784315349902657
Iraq,36.9,39.4,8.41,34.1,16.6,67.2,4.56,8.412054873292933
Ireland,4.2,103.0,9.19,86.5,-3.22,80.4,2.05,10.793454842740767
Israel,4.6,35.0,7.63,32.9,1.77,81.4,3.03,10.328787967145063
Italy,4.0,25.2,9.53,27.2,0.319,81.7,1.46,10.485731104959568
Jamaica,18.1,31.3,4.81,49.6,9.81,74.7,2.17,8.45126704130007
Japan,3.2,15.0,9.49,13.6,-1.9,82.8,1.39,10.703266939811954
Jordan,21.1,48.3,8.04,69.0,8.43,75.8,3.66,8.210939733379021
Kazakhstan,21.5,44.2,4.29,29.9,19.5,68.4,2.6,9.112837790614945
Kenya,62.2,20.7,4.75,33.6,2.09,62.8,4.37,6.875232087276577
Kiribati,62.7,13.3,11.3,79.9,1.52,60.7,3.84,7.307202314764738
Kuwait,10.8,66.7,2.63,30.4,11.2,78.2,2.21,10.55843949396453
Kyrgyz Republic,29.6,51.6,6.18,81.7,10.0,68.5,3.1,6.78105762593618
Lao,78.9,35.4,4.47,49.3,9.2,63.8,3.15,7.039660349862076
Latvia,7.8,53.7,6.68,55.1,-0.812,73.1,1.36,9.332646496360152
Lebanon,10.3,35.8,7.03,60.2,0.238,79.8,1.61,9.089414904047302
Lesotho,99.7,39.4,11.1,101.0,4.15,46.5,3.3,7.065613363597717
Liberia,89.3,19.1,11.8,92.6,5.47,60.8,5.02,5.793013608384144
Libya,16.6,65.6,3.88,42.1,14.2,76.1,2.41,9.401043372798053
Lithuania,6.1,65.3,7.04,67.2,2.38,73.2,1.5,9.392745258631441
Luxembourg,2.8,175.0,7.77,142.0,3.62,81.3,1.63,11.561725152903833
"Macedonia, FYR",10.4,39.8,7.09,58.1,2.04,74.0,1.47,8.420902531097951
Madagascar,62.2,25.0,3.77,43.0,8.79,60.8,4.6,6.025865973825314
Malawi,90.5,22.8,6.59,34.9,12.1,53.1,5.31,6.131226489483141
Malaysia,7.9,86.9,4.39,71.0,7.27,74.5,2.15,9.112837790614945
Maldives,13.2,77.6,6.33,65.4,2.88,77.9,2.23,8.867990898182093
Mali,137.0,22.8,4.98,35.1,4.37,59.5,6.55,6.5638555265321274
Malta,6.8,153.0,8.65,154.0,3.83,80.3,1.36,9.957075711706057
Mauritania,97.4,50.7,4.41,61.2,18.9,68.2,4.98,7.0909098220799835
Mauritius,15.0,51.2,6.0,62.2,1.13,73.4,1.57,8.987321812850125
"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3.8,65.4,3.46,7.95892649305011
Moldova,17.2,39.2,11.7,78.5,11.1,69.7,1.27,7.396948602621014
Mongolia,26.1,46.7,5.44,56.7,39.2,66.2,2.64,7.8826922062890254
Montenegro,6.8,37.0,9.11,62.7,1.6,76.4,1.77,8.807022955925477
Morocco,33.5,32.2,5.2,43.0,0.976,73.5,2.58,7.9483852851118995
Mozambique,101.0,31.5,5.21,46.2,7.64,54.5,5.56,6.040254711277414
Myanmar,64.4,0.109,1.97,0.0659,7.04,66.8,2.41,6.8966943316227125
Namibia,56.0,47.8,6.78,60.7,3.56,58.6,3.6,8.55468163582723
Nepal,47.0,9.58,5.25,36.4,15.1,68.3,2.61,6.385194398997726
Netherlands,4.5,72.0,11.9,63.6,0.848,80.7,1.79,10.825780236605917
New Zealand,6.2,30.3,10.1,28.0,3.73,80.9,2.17,10.425282789490705
Niger,123.0,22.2,5.16,49.1,2.55,58.8,7.49,5.855071922202427
Nigeria,130.0,25.3,5.07,17.4,104.0,60.5,5.84,7.754052639035757
Norway,3.2,39.7,9.48,28.5,5.95,81.0,1.95,11.382828169079987
Oman,11.7,65.7,2.77,41.2,15.6,76.1,2.9,9.867912187022208
Pakistan,92.1,13.5,2.2,19.4,10.9,65.3,3.85,6.947937068614969
Panama,19.7,70.0,8.1,78.2,2.59,77.8,2.62,8.997270906233448
Paraguay,24.1,55.1,5.87,51.5,6.1,74.1,2.73,8.080546965824498
Peru,20.3,27.8,5.08,23.8,5.71,77.9,2.54,8.521384396034705
Philippines,31.9,34.8,3.61,36.6,4.22,69.0,3.16,7.664346632098617
Poland,6.0,40.1,7.46,42.1,1.66,76.3,1.41,9.441531454869693
Portugal,3.9,29.9,11.0,37.4,0.643,79.8,1.39,10.021315031649332
Qatar,9.0,62.3,1.81,23.8,6.98,79.5,2.07,11.160541302448653
Romania,11.5,32.6,5.58,38.8,3.53,73.7,1.59,9.015662792972645
Russia,10.0,29.2,5.08,21.1,14.2,69.2,1.57,9.278092474027002
Rwanda,63.6,12.0,10.5,30.0,2.61,64.6,4.51,6.335054251498059
Samoa,18.9,29.2,6.47,53.1,1.72,71.5,4.34,8.146419323098003
Saudi Arabia,15.7,49.6,4.29,33.0,17.2,75.1,2.96,9.867912187022208
Senegal,66.8,24.9,5.66,40.3,1.85,64.0,5.06,6.90875477931522
Serbia,7.6,32.9,10.4,47.9,5.88,74.7,1.4,8.596189197642735
Seychelles,14.4,93.8,3.4,108.0,-4.21,73.4,2.17,9.287394001418473
Sierra Leone,160.0,16.8,13.1,34.5,17.2,55.0,5.2,5.991464547107982
Singapore,2.8,200.0,3.96,174.0,-0.046,82.7,1.15,10.74937727911096
Slovak Republic,7.0,76.3,8.79,77.8,0.485,75.5,1.43,9.717218213494077
Slovenia,3.2,64.3,9.41,62.9,-0.987,79.5,1.57,10.060534035475412
Solomon Islands,28.1,49.3,8.55,81.2,6.81,61.7,4.24,7.1631723908466425
South Africa,53.7,28.6,8.94,27.4,6.35,54.3,2.59,8.893023494394711
South Korea,4.1,49.4,6.93,46.2,3.16,80.1,1.23,10.003378135350923
Spain,3.8,25.5,9.54,26.8,0.16,81.9,1.37,10.332050506334692
Sri Lanka,11.2,19.6,2.94,26.8,22.8,74.4,2.2,7.941295570906532
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,4.44,71.6,2.07,8.737292112544221
Sudan,76.7,19.7,6.32,17.2,19.6,66.3,4.88,7.300472814267799
Suriname,24.1,52.5,7.01,38.4,7.2,70.3,2.52,9.024131268455035
Sweden,3.0,46.2,9.63,40.7,0.991,81.5,1.98,10.860939421415225
Switzerland,4.5,64.0,11.5,53.3,0.317,82.2,1.52,11.219909190927746
Tajikistan,52.4,14.9,5.98,58.6,12.5,69.6,3.51,6.6052979209482015
Tanzania,71.9,18.7,6.01,29.1,9.25,59.3,5.43,6.555356891810665
Thailand,14.9,66.5,3.88,60.8,4.08,76.6,1.55,8.533263371593732
Timor-Leste,62.6,2.2,9.12,27.8,26.5,71.1,6.23,8.188966863648876
Togo,90.3,40.2,7.65,57.3,1.18,58.7,4.87,6.192362489474872
Tonga,17.4,12.4,5.07,60.3,3.68,69.9,3.91,8.174984532943087
Tunisia,17.4,50.5,6.21,55.3,3.82,76.9,2.14,8.328692583545568
Turkey,19.1,20.4,6.74,25.5,7.01,78.2,2.15,9.278092474027002
Turkmenistan,62.0,76.3,2.5,44.5,2.31,67.9,2.83,8.398634855292102
Uganda,81.0,17.1,9.01,28.6,10.6,56.8,6.15,6.39024066706535
Ukraine,11.7,47.1,7.72,51.1,13.4,70.4,1.44,7.9966538754626075
United Arab Emirates,8.6,77.7,3.66,63.6,12.5,76.5,1.87,10.463131911491967
United Kingdom,5.2,28.2,9.64,30.8,1.57,80.3,1.92,10.568775236216993
United States,7.3,12.4,17.9,15.8,1.22,78.7,1.93,10.78727575364831
Uruguay,10.6,26.3,8.35,25.4,4.91,76.4,2.08,9.38437770918244
Uzbekistan,36.3,31.7,5.81,28.5,16.5,68.8,2.34,7.2305631534092925
Vanuatu,29.2,46.6,5.25,52.7,2.62,63.0,3.5,7.9966538754626075
Venezuela,17.1,28.5,4.91,17.6,45.9,75.4,2.47,9.510519035757246
Vietnam,23.3,72.0,6.84,80.2,12.1,73.1,1.95,7.1785454837637
Yemen,56.3,30.0,5.18,34.4,23.6,67.5,4.67,7.1785454837637
Zambia,83.1,37.0,5.89,30.9,14.0,52.0,5.4,7.2868764117507
